,_MEMBER_Input ID,_LogP_Input ID,GO,Description,_PATTERN_,_RANK_,GiniIndex
19_GO:0009737,1,-1.9,GO:0009737,response to abscisic acid,M1,1,0
21_GO:0004857,1,-2.4,GO:0004857,enzyme inhibitor activity,M1,1,0
19_GO:0009902,1,-3.4,GO:0009902,chloroplast relocation,M1,1,0
19_GO:0010200,1,-2.3,GO:0010200,response to chitin,M1,1,0
20_GO:0009941,1,-1.7,GO:0009941,chloroplast envelope,M1,1,0
24_ath00561,1,-2.6,ath00561,Glycerolipid metabolism,M1,1,0
19_GO:0009738,1,-2.6,GO:0009738,abscisic acid-activated signaling pathway,M1,1,0
21_GO:0005506,1,-1.3,GO:0005506,iron ion binding,M1,1,0
19_GO:1903509,1,-2.9,GO:1903509,liposaccharide metabolic process,M1,1,0
19_GO:0042594,1,-1.7,GO:0042594,response to starvation,M1,1,0
19_GO:0019757,1,-1.5,GO:0019757,glycosinolate metabolic process,M1,1,0
19_GO:0051667,1,-3.4,GO:0051667,establishment of plastid localization,M1,1,0
19_GO:0071396,1,-2.1,GO:0071396,cellular response to lipid,M1,1,0
19_GO:0031668,1,-2.9,GO:0031668,cellular response to extracellular stimulus,M1,1,0
19_GO:0006664,1,-2.9,GO:0006664,glycolipid metabolic process,M1,1,0
19_GO:0010118,1,-1.5,GO:0010118,stomatal movement,M1,1,0
24_ath04075,1,-1.4,ath04075,Plant hormone signal transduction,M1,1,0
19_GO:0031669,1,-3.3,GO:0031669,cellular response to nutrient levels,M1,1,0
19_GO:0016036,1,-2.7,GO:0016036,cellular response to phosphate starvation,M1,1,0
19_GO:0000302,1,-1.4,GO:0000302,response to reactive oxygen species,M1,1,0
21_GO:0030234,1,-2.9,GO:0030234,enzyme regulator activity,M1,1,0
19_GO:0009991,1,-2.4,GO:0009991,response to extracellular stimulus,M1,1,0
19_GO:0016567,1,-1.9,GO:0016567,protein ubiquitination,M1,1,0
19_GO:0010150,1,-1.6,GO:0010150,leaf senescence,M1,1,0
21_GO:0046906,1,-1.5,GO:0046906,tetrapyrrole binding,M1,1,0
20_GO:0009579,1,-1.8,GO:0009579,thylakoid,M1,1,0
19_GO:0097306,1,-2.4,GO:0097306,cellular response to alcohol,M1,1,0
19_GO:0031667,1,-2.7,GO:0031667,response to nutrient levels,M1,1,0
19_GO:0032446,1,-1.8,GO:0032446,protein modification by small protein conjugation,M1,1,0
19_GO:0009903,1,-3.7,GO:0009903,chloroplast avoidance movement,M1,1,0
19_GO:1901701,1,-3,GO:1901701,cellular response to oxygen-containing compound,M1,1,0
19_GO:0009743,1,-1.4,GO:0009743,response to carbohydrate,M1,1,0
19_GO:0070647,1,-1.6,GO:0070647,protein modification by small protein conjugation or removal,M1,1,0
19_GO:0009611,1,-1.7,GO:0009611,response to wounding,M1,1,0
19_GO:0097305,1,-1.9,GO:0097305,response to alcohol,M1,1,0
19_GO:0009267,1,-1.9,GO:0009267,cellular response to starvation,M1,1,0
19_GO:0051644,1,-3.4,GO:0051644,plastid localization,M1,1,0
19_GO:0009651,1,-1.4,GO:0009651,response to salt stress,M1,1,0
24_ath04141,1,-2.4,ath04141,Protein processing in endoplasmic reticulum,M1,1,0
19_GO:0019760,1,-1.5,GO:0019760,glucosinolate metabolic process,M1,1,0
19_GO:0071496,1,-2.8,GO:0071496,cellular response to external stimulus,M1,1,0
19_GO:0071215,1,-2.4,GO:0071215,cellular response to abscisic acid stimulus,M1,1,0
20_GO:0042170,1,-2,GO:0042170,plastid membrane,M1,1,0
21_GO:0098772,1,-2.5,GO:0098772,molecular function regulator,M1,1,0
19_GO:1901698,1,-2.5,GO:1901698,response to nitrogen compound,M1,1,0
19_GO:0009904,1,-3.8,GO:0009904,chloroplast accumulation movement,M1,1,0
19_GO:0071229,1,-2.2,GO:0071229,cellular response to acid chemical,M1,1,0
20_GO:0031969,1,-2,GO:0031969,chloroplast membrane,M1,1,0
21_GO:0020037,1,-1.6,GO:0020037,heme binding,M1,1,0
20_GO:0009526,1,-1.7,GO:0009526,plastid envelope,M1,1,0
19_GO:1901657,1,-1.6,GO:1901657,glycosyl compound metabolic process,M1,1,0
19_GO:0019750,1,-3.4,GO:0019750,chloroplast localization,M1,1,0
19_GO:0051640,1,-1.5,GO:0051640,organelle localization,M1,1,0
19_GO:0090693,1,-1.5,GO:0090693,plant organ senescence,M1,1,0
21_GO:0005509,1,-1.5,GO:0005509,calcium ion binding,M1,1,0
19_GO:0051656,1,-2.2,GO:0051656,establishment of organelle localization,M1,1,0
19_GO:0042493,1,-2.7,GO:0042493,response to drug,M1,1,0
19_GO:0009247,1,-2.9,GO:0009247,glycolipid biosynthetic process,M1,1,0
19_GO:0007568,1,-2,GO:0007568,aging,M1,1,0
19_GO:0016143,1,-1.5,GO:0016143,S-glycoside metabolic process,M1,1,0
19_GO:0046467,1,-2.2,GO:0046467,membrane lipid biosynthetic process,M1,1,0
19_GO:0010243,1,-2.2,GO:0010243,response to organonitrogen compound,M1,1,0
19_GO:0006643,1,-1.9,GO:0006643,membrane lipid metabolic process,M1,1,0
19_GO:0010498,1,-1.4,GO:0010498,proteasomal protein catabolic process,M1,1,0
