Gene,TotalEvidenceCounts,EvidenceHit:Input ID,EvidenceGO:Input ID,EvidencePPI:Input ID
818643,3.0,1,1,1
824793,2.0,1,1,0
844406,2.0,1,0,1
830520,2.0,1,0,1
818840,2.0,1,0,1
832163,2.0,1,1,0
824335,2.0,1,1,0
831888,2.0,1,1,0
815657,2.0,1,1,0
844035,1.0,1,0,0
830360,1.0,1,0,0
835945,1.0,1,0,0
836356,1.0,1,0,0
838740,1.0,1,0,0
842716,1.0,1,0,0
833962,1.0,1,0,0
843418,1.0,1,0,0
816690,1.0,1,0,0
818984,1.0,1,0,0
835539,1.0,1,0,0
827481,1.0,1,0,0
830464,1.0,1,0,0
830577,1.0,1,0,0
838000,1.0,1,0,0
830578,1.0,1,0,0
841567,1.0,1,0,0
839642,1.0,1,0,0
825654,1.0,1,0,0
825278,1.0,1,0,0
834871,1.0,1,0,0
836500,1.0,1,0,0
830564,1.0,1,0,0
842994,1.0,1,0,0
823850,1.0,1,0,0
828348,1.0,1,0,0
832549,1.0,1,0,0
836284,1.0,1,0,0
830840,1.0,1,0,0
816751,1.0,1,0,0
837327,1.0,1,0,0
817799,1.0,1,0,0
828620,1.0,1,0,0
839137,1.0,1,0,0
821260,1.0,1,0,0
821195,1.0,1,0,0
838757,1.0,1,0,0
816898,1.0,1,0,0
839446,1.0,1,0,0
838195,1.0,1,0,0
827956,1.0,1,0,0
814828,1.0,1,0,0
839568,1.0,1,0,0
822506,1.0,1,0,0
844403,1.0,1,0,0
820697,1.0,1,0,0
816477,1.0,1,0,0
827307,1.0,1,0,0
842612,1.0,1,0,0
837608,1.0,1,0,0
818111,1.0,1,0,0
842753,1.0,1,0,0
818506,1.0,1,0,0
822087,1.0,1,0,0
829347,1.0,1,0,0
839463,1.0,1,0,0
835283,1.0,1,0,0
830014,1.0,1,0,0
832287,1.0,1,0,0
824348,1.0,1,0,0
844125,1.0,1,0,0
817730,1.0,1,0,0
835218,1.0,1,0,0
818491,1.0,1,0,0
814673,1.0,1,0,0
822147,1.0,1,0,0
834867,1.0,1,0,0
840317,1.0,1,0,0
830934,1.0,1,0,0
817444,1.0,1,0,0
841793,1.0,1,0,0
820694,1.0,1,0,0
817355,1.0,1,0,0
817774,1.0,1,0,0
829423,1.0,1,0,0
836093,1.0,1,0,0
832517,1.0,1,0,0
843988,1.0,1,0,0
828666,1.0,1,0,0
837390,1.0,1,0,0
835927,1.0,1,0,0
828427,1.0,1,0,0
839432,1.0,1,0,0
820267,1.0,1,0,0
844058,1.0,1,0,0
820307,1.0,1,0,0
839060,1.0,1,0,0
834349,1.0,1,0,0
837379,1.0,1,0,0
838352,1.0,1,0,0
828213,1.0,1,0,0
834839,1.0,1,0,0
836485,1.0,1,0,0
821495,1.0,1,0,0
829887,1.0,1,0,0
822484,1.0,1,0,0
839413,1.0,1,0,0
841789,1.0,1,0,0
832801,1.0,1,0,0
832607,1.0,1,0,0
843416,1.0,1,0,0
825360,1.0,1,0,0
